Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AADI,Aadi Bioscience Inc. Common Stock,$1.94,0.00,0.00%,47752778.00,United States,,74899,Health Care,Biotechnology: Pharmaceutical Preparations
ACRS,Aclaris Therapeutics Inc. Common Stock,$1.15,-0.04,-3.361%,82046241.00,United States,2015,436331,Health Care,Biotechnology: Pharmaceutical Preparations
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,$13.12,-0.32,-2.381%,663672091.00,Ireland,,25022,Consumer Discretionary,Industrial Specialties
AIRS,AirSculpt Technologies Inc. Common Stock,$4.66,-0.29,-5.859%,268379083.00,United States,2021,43665,Health Care,Medical/Nursing Services
ALLR,Allarity Therapeutics Inc. Common Stock,$1.64,-0.12,-6.818%,2316746.00,United States,,109928,Health Care,Biotechnology: Pharmaceutical Preparations
ALVR,AlloVir Inc. Common Stock,$0.7999,0.0144,1.833%,92280689.00,United States,2020,268561,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMCX,AMC Networks Inc. Class A Common Stock,$8.22,-0.11,-1.321%,362486555.00,United States,,876302,Telecommunications,Cable & Other Pay Television Services
APDN,Applied DNA Sciences Inc. Common Stock,$0.3755,0.006,1.624%,3867419.00,United States,,4519005,Consumer Discretionary,Other Consumer Services
APOG,Apogee Enterprises Inc. Common Stock,$78.81,-5.12,-6.10%,1728552576.00,United States,,359692,Consumer Discretionary,Auto Parts:O.E.M.
APPN,Appian Corporation Class A Common Stock,$32.90,-0.93,-2.749%,2380274204.00,United States,2017,267707,Technology,Computer Software: Prepackaged Software
AQB,AquaBounty Technologies Inc. Common Stock,$1.21,-0.02,-1.626%,4677591.00,United States,,20288,Consumer Staples,Meat/Poultry/Fish
ARBK,Argo Blockchain plc American Depositary Shares,$1.15,-0.05,-4.167%,731802500.00,United Kingdom,2021,143611,Finance,Finance: Consumer Services
AROW,Arrow Financial Corporation Common Stock,$28.07,0.02,0.071%,469685991.00,United States,,15535,Finance,Major Banks
ASTE,Astec Industries Inc. Common Stock,$30.77,-0.20,-0.646%,701573877.00,United States,1986,105586,Industrials,Construction/Ag Equipment/Trucks
ATHA,Athira Pharma Inc. Common Stock,$0.429,0.004,0.941%,16490492.00,United States,2020,193254,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATRO,Astronics Corporation Common Stock,$19.82,-0.16,-0.801%,693543640.00,United States,,52195,Industrials,Military/Government/Technical
AUDC,AudioCodes Ltd. Common Stock,$9.28,-0.22,-2.316%,283102668.00,Israel,1999,60892,Utilities,Telecommunications Equipment
AUR,Aurora Innovation Inc. Class A Common Stock,$5.31,-0.24,-4.324%,8329738840.00,United States,2021,8149706,Technology,EDP Services
AUUD,Auddia Inc. Common Stock,$0.6244,-0.0036,-0.573%,2772336.00,United States,2021,129214,Technology,EDP Services
AVAH,Aveanna Healthcare Holdings Inc. Common Stock,$4.22,-0.31,-6.843%,815410247.00,United States,2021,315785,Health Care,Medical/Nursing Services
AVIR,Atea Pharmaceuticals Inc. Common Stock,$3.41,-0.05,-1.445%,287879020.00,United States,2020,88347,Health Care,Biotechnology: Pharmaceutical Preparations
AVT,Avnet Inc. Common Stock,$54.00,-0.05,-0.093%,4758073164.00,United States,,415927,Technology,Electronic Components
AVTE,Aerovate Therapeutics Inc. Common Stock,$2.08,0.03,1.463%,60044839.00,United States,2021,239744,Health Care,Biotechnology: Pharmaceutical Preparations
AWH,Aspira Women's Health Inc. Common Stock,$0.846,0.024,2.92%,13589246.00,United States,,54583,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
AY,Atlantica Sustainable Infrastructure plc Ordinary Shares,$21.93,-0.01,-0.046%,2545088913.00,United Kingdom,2014,602016,Utilities,Electric Utilities: Central
BANF,BancFirst Corporation Common Stock,$102.51,-0.55,-0.534%,3385097931.00,United States,1993,59242,Finance,Major Banks
BFC,Bank First Corporation Common Stock,$86.53,-0.71,-0.814%,866488663.00,United States,,9512,Finance,Major Banks
BHF,Brighthouse Financial Inc. Common Stock,$44.53,-1.16,-2.539%,2705462409.00,United States,,294830,Finance,Life Insurance
BHIL,Benson Hill Inc. Common Stock,$6.97,-0.11,-1.554%,42653542.00,United States,,8147,Consumer Staples,Packaged Foods
BHRB,Burke & Herbert Financial Services Corp. Common Stock,$57.91,-0.66,-1.127%,865463039.00,United States,,63424,Finance,Major Banks
BIRD,Allbirds Inc. Class A Common Stock,$10.63,-0.31,-2.834%,83836610.00,United States,2021,27843,Consumer Discretionary,Apparel
BLDP,Ballard Power Systems Inc. Common Shares,$1.76,0.06,3.529%,526958747.00,Canada,,3607311,Energy,Industrial Machinery/Components
BLFY,Blue Foundry Bancorp Common Stock,$9.76,-0.05,-0.51%,226564726.00,United States,2021,16868,Finance,Banks
BOLT,Bolt Biotherapeutics Inc. Common Stock,$0.67,0.025,3.876%,25637445.00,United States,2021,185003,Health Care,Biotechnology: Pharmaceutical Preparations
BPRN,Princeton Bancorp Inc. Common Stock (PA),$36.13,-0.47,-1.284%,248574400.00,United States,,1773,Finance,Major Banks
BYND,Beyond Meat Inc. Common Stock,$6.24,-0.17,-2.652%,405839535.00,United States,2019,1942379,Consumer Staples,Packaged Foods
