,Symbol,Name,Buy,Analyst
0,AAL,American Airlines Group Inc. Common Stock,1,Buy
1,AAON,AAON Inc. Common Stock,1,Buy
2,ABNB,Airbnb Inc. Class A Common Stock,1,Buy
3,ACB,Aurora Cannabis Inc. Common Shares,1,Buy
4,ACDC,ProFrac Holding Corp. Class A Common Stock,1,Buy
5,ACHL,Achilles Therapeutics plc American Depositary Shares,1,Buy
6,ACIC,American Coastal Insurance Corporation Common Stock,1,Buy
7,ACNB,ACNB Corporation Common Stock,1,Buy
8,ACT,Enact Holdings Inc. Common Stock,1,Buy
9,ADAP,Adaptimmune Therapeutics plc American Depositary Shares,1,Buy
10,ADP,Automatic Data Processing Inc. Common Stock,1,Buy
11,ADV,Advantage Solutions Inc. Class A Common Stock,1,Buy
12,AEHR,Aehr Test Systems Common Stock,1,Buy
13,AEIS,Advanced Energy Industries Inc. Common Stock,1,Buy
14,AEMD,Aethlon Medical Inc. Common Stock,1,Buy
15,AEP,American Electric Power Company Inc. Common Stock,1,Buy
16,AFRM,Affirm Holdings Inc. Class A Common Stock,1,Buy
17,AFYA,Afya Limited Class A Common Shares,1,Buy
18,AGEN,Agenus Inc. Common Stock,1,Buy
19,AGNC,AGNC Investment Corp. Common Stock,1,Buy
20,AKTS,Akoustis Technologies Inc. Common Stock,1,Buy
21,ALGN,Align Technology Inc. Common Stock,1,Buy
22,ALGT,Allegiant Travel Company Common Stock,1,Buy
23,ALKS,Alkermes plc Ordinary Shares,1,Buy
24,ALLK,Allakos Inc. Common Stock,1,Buy
25,ALRM,Alarm.com Holdings Inc. Common Stock,1,Buy
26,ALRS,Alerus Financial Corporation Common Stock,1,Buy
27,ALTR,Altair Engineering Inc. Class A Common Stock,1,Buy
28,ALVO,Alvotech Ordinary Shares,1,Buy
29,ALZN,Alzamend Neuro Inc. Common Stock,1,Buy
30,AMBA,Ambarella Inc. Ordinary Shares,1,Buy
31,AMED,Amedisys Inc Common Stock,1,Buy
32,AMGN,Amgen Inc. Common Stock,1,Buy
33,AMLX,Amylyx Pharmaceuticals Inc. Common Stock,1,Buy
34,AMPL,Amplitude Inc. Class A Common Stock,1,Buy
35,AMSF,AMERISAFE Inc. Common Stock,1,Buy
36,AMTX,Aemetis Inc. (DE) Common Stock,1,Buy
37,ANSS,ANSYS Inc. Common Stock,1,Buy
38,ANTX,AN2 Therapeutics Inc. Common Stock,1,Buy
39,AOSL,Alpha and Omega Semiconductor Limited Common Shares,1,Buy
40,APA,APA Corporation Common Stock,1,Buy
41,APEI,American Public Education Inc. Common Stock,1,Buy
42,APPS,Digital Turbine Inc. Common Stock,1,Buy
43,APYX,Apyx Medical Corporation Common Stock,1,Buy
44,ARCB,ArcBest Corporation Common Stock,1,Buy
45,ARKO,ARKO Corp. Common Stock,1,Buy
46,ASLE,AerSale Corporation Common Stock,1,Buy
